partition,variable,active_samples,num_events,activation_ratio,entropy,mean_run_length,max_run_length,mean_gap_between_events
val,dosificacion_sal,0,0,0.0,0.0,0.0,0.0,
val,efectua_pesada,60850,774,0.25342551330640123,0.8166624275289538,78.61757105943153,491.0,310.5472186287193
val,efectua_pesada_1,0,0,0.0,0.0,0.0,0.0,
val,efectua_pesada_2,69044,775,0.28755153887801427,0.8655373693741146,89.08903225806452,497.0,310.14599483204137
val,electrovalvula_abrir_tapa,5631,1416,0.02345175128066303,0.16040540310083562,3.9766949152542375,15.0,169.57455830388693
val,electrovalvula_cerrar_tapa,452,122,0.0018824705343384281,0.019755574361401875,3.7049180327868854,4.0,1951.3305785123966
val,entrada_agua_fria,10964,1201,0.04566240473116488,0.26767725445970086,9.129059117402164,34.0,199.79416666666665
val,entrada_premezcla,10334,773,0.04303860730498522,0.2560547000842261,13.36869340232859,97.0,310.72668393782385
val,ev_tapa_hari_liqui,12227,833,0.050922493856982214,0.29030279532539477,14.67827130852341,511.0,288.32211538461536
val,ev_tolva_harina,0,0,0.0,0.0,0.0,0.0,
val,ev_tolva_liquido,0,0,0.0,0.0,0.0,0.0,
val,exc_masatoldivi,0,0,0.0,0.0,0.0,0.0,
val,excede_peso,0,0,0.0,0.0,0.0,0.0,
val,fallo_conline,0,0,0.0,0.0,0.0,0.0,
val,fallo_dectector_volcado_cazo,0,0,0.0,0.0,0.0,0.0,
val,fallo_detector_inmovilizador_cazo,0,0,0.0,0.0,0.0,0.0,
val,fallo_detector_tapa,0,0,0.0,0.0,0.0,0.0,
val,fallo_fin_carrera_elevador,0,0,0.0,0.0,0.0,0.0,
val,fallo_valvula_tapa,0,0,0.0,0.0,0.0,0.0,
val,fallo_variador_volteo_1,0,0,0.0,0.0,0.0,0.0,
val,fin_desc_bascu,4,2,1.6659031277331224e-05,0.0002884681019180098,2.0,2.0,128299.0
val,fin_descarga,78347,823,0.32629628087126733,0.9110974615243195,95.19684082624545,13410.0,291.82968369829683
val,fin_total_amasado,120195,5,0.5005830660947066,0.9999990190650488,24039.0,34418.0,49997.5
val,final_carrera_superior_elevador_artesa,147940,811,0.6161342717920953,0.9607265705992724,182.41676942046857,24705.0,296.3506172839506
val,formato_equivocado,0,0,0.0,0.0,0.0,0.0,
val,hay_ingrediente_manual,34844,777,0.14511682145683227,0.5974840137852984,44.844272844272844,2522.0,309.1868556701031
val,ingrediente_introducido,4,1,1.6659031277331224e-05,0.0002884681019180098,4.0,4.0,
val,inicio_dosificacion,2,1,8.329515638665612e-06,0.0001525636166457776,2.0,2.0,
val,inicio_tanda,153902,4,0.6409645579109575,0.9418796198543882,38475.5,66332.0,66450.33333333333
val,leido,0,0,0.0,0.0,0.0,0.0,
val,mal_posicion_artesa,0,0,0.0,0.0,0.0,0.0,
val,marcha_variador,104739,1003,0.43621256923909874,0.9882277649677835,104.42572283150548,1814.0,239.56487025948104
val,masa_en_artesa,5931,794,0.024701178626462872,0.16707888747530458,7.469773299748111,11.0,302.55863808322823
val,masa_sin_aceite,0,0,0.0,0.0,0.0,0.0,
val,micro_seguridad_suprioir_elevador,0,0,0.0,0.0,0.0,0.0,
val,misma_tanda,145019,15,0.6039690142018241,0.9685814695047474,9667.933333333332,26746.0,16182.642857142857
val,motor_amasadora,0,0,0.0,0.0,0.0,0.0,
val,nivel_hi_aceite,0,0,0.0,0.0,0.0,0.0,
val,no_abre_tapa,12,1,4.997709383199367e-05,0.0007861912849640501,12.0,12.0,
val,no_abre_valvula_tapa,2715,37,0.011307317479488568,0.08934032640842449,73.37837837837837,1097.0,121.58333333333333
val,no_abre_valvula_tolva,0,0,0.0,0.0,0.0,0.0,
val,no_cierra_tapa,0,0,0.0,0.0,0.0,0.0,
val,no_cierra_valvula_tolva,23313,23,0.09709299904210571,0.4597122946634993,1013.6086956521739,12413.0,5137.636363636364
val,no_cierra_valvulatapa,9506,27,0.039590187830577654,0.24041005039337066,352.0740740740741,6217.0,410.0
val,no_descar_ingre,0,0,0.0,0.0,0.0,0.0,
